Datei,Dokumenttyp,Wichtigkeit,Bemerkung
01-mandatsnotiz-und-arbeitsauftrag.md,MD,mittel,"Erste Lage, Personen, Ziel und offene Fragen"
02-zeitstrahl-und-fristen.md,MD,mittel,Chronologie mit Entscheidungs- und Eskalationspunkten
03-prueffragen-fuer-erstgespraech.md,MD,mittel,Katalog für das erste strukturierte Gespräch
04-nda-auszug-clean-team.docx,DOCX,hoch,NDA-Auszug mit problematischer Schweigeklausel
05-hinweisfall-triage-und-fristen.xlsx,XLSX,hoch,Triage- und Fristenliste
06-hinschg-scope-vermerk.pdf,PDF,hoch,Vermerk Anwendungsbereich und Schutzstatus
07-email-hinweisgeber-rueckkanal.eml,EML,hoch,Anonyme Rückkanal-Mail
08-email-deal-team-nda-druck.eml,EML,mittel,Deal-Team drängt auf harte NDA-Linie
09-meldekanal-technischer-check.pdf,PDF,hoch,Technischer Check Meldekanal
10-chat-compliance-hr.jpg,JPG,mittel,Chat zwischen Compliance und HR
11-untersuchungsplan.docx,DOCX,mittel,Untersuchungsplan mit Interviews und Datenquellen
12-legal-hold-verteiler.csv,CSV,mittel,Legal-Hold-Verteiler
13-nda-redline-vermerk.pdf,PDF,mittel,Vermerk zur NDA-Redline
14-bonusentscheidung-risk-note.pdf,PDF,mittel,Risk Note Bonus/Repressalie
15-email-betriebsrat-meldekanal.eml,EML,mittel,Betriebsrat fragt nach Meldekanal und Tool
16-antwortentwurf-an-hinweisgeber.md,MD,mittel,Antwortentwurf an Hinweisgeber
17-datenschutz-meldeakte.pdf,PDF,mittel,Datenschutzvermerk Meldeakte
18-whatsapp-externe-berater.jpg,JPG,mittel,WhatsApp mit externer Beraterin
19-behoerden-routing.md,MD,mittel,Routing möglicher Behörden
20-board-briefing-hinschg.pdf,PDF,mittel,Board-Briefing HinSchG-Fall
21-offene-punkte-und-lueckenliste.md,MD,mittel,Offene Punkte und Lückenliste
22-anlagenindex.csv,CSV,mittel,Anlagenindex
