Datei,Typ,Relevanz
01-mandatsnotiz-und-auftrag.md,MD,mittel
02-zeitstrahl-fristen-und-verfahrensstand.md,MD,mittel
03-normenkette-livecheck.md,MD,mittel
04-berufungskommission-auswahlvermerk.docx,DOCX,hoch
05-gremien-und-fristenmatrix.xlsx,XLSX,hoch
06-senatsvorlage-grundordnung.pdf,PDF,hoch
07-email-ministerium-nachfrage.eml,EML,hoch
08-chat-dekanat-legal.jpg,JPG,mittel
09-drittmittelvertrag-auszug.pdf,PDF,mittel
10-berufung-beteiligte.csv,CSV,mittel
11-rechtsvermerk-senat.docx,DOCX,mittel
12-offene-punkte.md,MD,mittel
13-anlagenindex.csv,CSV,mittel
