Datei,Typ,Relevanz
01-mandatsnotiz-und-auftrag.md,MD,mittel
02-zeitstrahl-fristen-und-verfahrensstand.md,MD,mittel
03-normenkette-livecheck.md,MD,mittel
04-bescheid-endgueltig-nicht-bestanden.docx,DOCX,hoch
05-punkte-und-ruegematrix.xlsx,XLSX,hoch
06-akteneinsicht-bewertungsbogen.pdf,PDF,hoch
07-email-studentin-pruefungsamt.eml,EML,hoch
08-chat-studentin-berater.jpg,JPG,mittel
09-attest-und-ruecktrittsnotiz.pdf,PDF,mittel
10-fristen-und-rechtsbehelfe.csv,CSV,mittel
11-entwurf-widerspruch-akteneinsicht.docx,DOCX,mittel
12-offene-punkte.md,MD,mittel
13-anlagenindex.csv,CSV,mittel
