Datei,Typ,Relevanz
01-mandatsnotiz-und-auftrag.md,MD,mittel
02-zeitstrahl-fristen-und-verfahrensstand.md,MD,mittel
03-normenkette-livecheck.md,MD,mittel
04-schreiben-schulleitung-unterrichtsausschluss.docx,DOCX,hoch
05-fehlzeiten-noten-nachteilsausgleich.xlsx,XLSX,hoch
06-foerderplan-und-schulpsychologie.pdf,PDF,hoch
07-email-eltern-an-schule.eml,EML,hoch
08-klassenchat-auszug.jpg,JPG,mittel
09-klassenkonferenz-protokoll-auszug.pdf,PDF,mittel
10-anlagenindex.csv,CSV,mittel
11-entwurf-widerspruch-eilantrag.docx,DOCX,mittel
12-offene-punkte.md,MD,mittel
13-anlagenindex.csv,CSV,mittel
